Symbol,Company,Sector
ADANIENT,Adani Enterprises,Metals & Mining
ADANIPORTS,Adani Ports & SEZ,Services
APOLLOHOSP,Apollo Hospitals,Healthcare
ASIANPAINT,Asian Paints,Consumer Durables
AXISBANK,Axis Bank,Financial Services
BAJAJ-AUTO,Bajaj Auto,Automobile and Auto Components
BAJFINANCE,Bajaj Finance,Financial Services
BAJAJFINSV,Bajaj Finserv,Financial Services
BEL,Bharat Electronics,Capital Goods
BHARTIARTL,Bharti Airtel,Telecommunication
CIPLA,Cipla,Healthcare
COALINDIA,Coal India,"Oil, Gas & Consumable Fuels"
DRREDDY,Dr. Reddy's Laboratories,Healthcare
EICHERMOT,Eicher Motors,Automobile and Auto Components
ETERNAL,Eternal,Consumer Services
GRASIM,Grasim Industries,Construction Materials
HCLTECH,HCLTech,Information Technology
HDFCBANK,HDFC Bank,Financial Services
HDFCLIFE,HDFC Life,Financial Services
HINDALCO,Hindalco Industries,Metals & Mining
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods
ICICIBANK,ICICI Bank,Financial Services
INDIGO,IndiGo,Services
INFY,Infosys,Information Technology
ITC,ITC,Fast Moving Consumer Goods
JIOFIN,Jio Financial Services,Financial Services
JSWSTEEL,JSW Steel,Metals & Mining
KOTAKBANK,Kotak Mahindra Bank,Financial Services
LT,Larsen & Toubro,Construction
M&M,Mahindra & Mahindra,Automobile and Auto Components
MARUTI,Maruti Suzuki,Automobile and Auto Components
MAXHEALTH,Max Healthcare,Healthcare
NESTLEIND,Nestlé India,Fast Moving Consumer Goods
NTPC,NTPC,Power
ONGC,Oil and Natural Gas Corporation,"Oil, Gas & Consumable Fuels"
POWERGRID,Power Grid,Power
RELIANCE,Reliance Industries,"Oil, Gas & Consumable Fuels"
SBILIFE,SBI Life Insurance Company,Financial Services
SHRIRAMFIN,Shriram Finance,Financial Services
SBIN,State Bank of India,Financial Services
SUNPHARMA,Sun Pharma,Healthcare
TCS,Tata Consultancy Services,Information Technology
TATACONSUM,Tata Consumer Products,Fast Moving Consumer Goods
TATAMOTORS,Tata Motors,Automobile and Auto Components
TATASTEEL,Tata Steel,Metals & Mining
TECHM,Tech Mahindra,Information Technology
TITAN,Titan Company,Consumer Durables
TRENT,Trent,Consumer Services
ULTRACEMCO,UltraTech Cement,Construction Materials
WIPRO,Wipro,Information Technology
